Date,Sales,Rank,Price
10/1/15,597,34,79
10/6/15,267,106,79
10/11/15,267,106,79
10/16/15,250,123,79
10/22/15,573,36,79
10/27/15,730,23,79
11/1/15,633,31,79
11/6/15,730,23,79
11/11/15,778,19,79
11/16/15,621,32,79
11/21/15,513,41,79
11/26/15,346,72,79
12/2/15,248,126,79
12/7/15,280,97,79
12/12/15,291,93,79
12/17/15,307,87,79
12/22/15,302,89,79
12/27/15,257,116,79
1/1/16,360,67,79
1/6/16,597,34,79
1/12/16,633,31,79
1/17/16,645,30,79
1/22/16,262,111,78.9
1/27/16,609,33,78.4
2/1/16,561,37,77.9
2/6/16,645,30,77.3
2/11/16,513,41,77.8
2/16/16,585,35,78.3
2/22/16,561,37,78.9
2/27/16,682,27,77.41
3/3/16,621,32,77.96
3/8/16,657,29,78.51
3/13/16,585,35,78.83
3/18/16,682,27,77.98
3/23/16,633,31,79
3/29/16,718,24,77.56
4/3/16,362,66,77.3
4/8/16,573,36,77.06
4/13/16,718,24,76.66
4/18/16,561,37,76.26
4/23/16,657,29,75.86
4/28/16,597,34,75.46
5/3/16,585,35,75.06
5/9/16,585,35,77.28
5/14/16,344,73,84.77
5/19/16,368,64,78.07
5/24/16,394,54,76.24
5/29/16,417,49,76.13
6/3/16,694,26,71.83
6/8/16,766,20,77.17
6/13/16,609,33,77.3
6/19/16,370,63,77.3
6/24/16,477,44,76.15
6/29/16,585,35,76.2
7/4/16,477,44,74.99
7/9/16,657,29,77.3
7/14/16,362,66,77.28
7/19/16,597,34,76.1
7/24/16,513,41,77.3
7/30/16,573,36,77.3
8/4/16,597,34,77.28
8/9/16,730,23,77.3
8/14/16,362,66,77.3
8/19/16,609,33,77.3
8/24/16,706,25,77.3
8/29/16,501,42,77.3
9/4/16,609,33,77.3
9/9/16,657,29,77.3
9/14/16,718,24,77.3
9/19/16,609,33,77.5
9/24/16,718,24,78
9/29/16,814,16,78.5
10/4/16,814,16,79
10/9/16,405,50,77.72
10/15/16,766,20,79
10/20/16,790,18,77.69
10/25/16,838,14,77.17
10/30/16,766,20,77.3
11/4/16,706,25,77.09
11/9/16,790,18,77.15
11/14/16,790,18,77.14
11/19/16,778,19,76.99
11/25/16,296,91,77.3
11/30/16,383,58,77.04
12/5/16,549,38,77.3
12/10/16,513,41,77.15
12/15/16,465,45,77.3
12/20/16,489,43,76.99
12/25/16,513,41,74.92
12/31/16,682,27,73.38
1/5/17,826,15,76.16
1/10/17,874,11,75.56
1/15/17,778,19,76.06
1/20/17,862,12,77.24
1/25/17,874,11,76.94
1/30/17,826,15,76.64
2/4/17,826,15,76.34
2/10/17,778,19,75.98
2/15/17,814,16,75.68
2/20/17,838,14,75.38
2/25/17,766,20,75.08
3/2/17,790,18,75.56
3/7/17,850,13,77.64
3/12/17,790,18,78.49
3/17/17,850,13,79.34
3/23/17,838,14,80.03
3/28/17,850,13,79.93
4/2/17,670,28,79.83
4/7/17,730,23,79.73
4/12/17,766,20,79.63
4/17/17,778,19,79.53
4/22/17,742,22,79.43
4/27/17,766,20,79.33
5/3/17,718,24,77.9
5/8/17,597,34,78.65
5/13/17,609,33,78.44
5/18/17,609,33,76.94
5/23/17,730,23,76.34
5/28/17,585,35,75.74
6/2/17,657,29,75.14
6/8/17,573,36,74.42
6/13/17,645,30,73.82
6/18/17,489,43,73.22
6/23/17,682,27,72.62
6/28/17,670,28,72.02
7/3/17,561,37,71.42
7/8/17,501,42,70.82
7/13/17,252,121,70.22
7/19/17,477,44,69.5
7/24/17,399,52,68.9
7/29/17,389,56,68.3
8/3/17,465,45,67.7
8/8/17,645,30,71.71
8/13/17,304,88,62.14
8/18/17,309,86,55.27
8/23/17,214,161,55.27
8/29/17,429,48,80.18
9/3/17,176,202,82.12
9/8/17,242,132,86.03
9/13/17,180,197,85.05
9/18/17,357,68,77.84
9/23/17,370,63,78.74
9/28/17,405,50,77.66
10/3/17,489,43,78.26
10/9/17,394,54,79
10/14/17,429,48,77.6
10/19/17,670,28,76.46
10/24/17,597,34,74.88
10/29/17,465,45,73.58
11/3/17,645,30,72.49
11/8/17,441,47,56.37
11/14/17,549,38,69.99
11/19/17,352,70,68.99
11/24/17,176,201,65.23
11/29/17,242,132,59.33
12/4/17,271,102,59.4
12/9/17,309,86,58.75
12/14/17,331,78,58.1
12/19/17,257,116,57.31
12/25/17,265,108,61.57
12/30/17,288,94,65.12
1/4/18,389,56,68.34
1/9/18,389,56,63.15
1/14/18,341,74,72.19
1/19/18,386,57,72.72
1/24/18,389,56,71.37
1/29/18,336,76,73.22
2/4/18,333,77,69.99
2/9/18,441,47,67.76
2/14/18,465,45,69.51
2/19/18,405,50,69.99
2/24/18,362,66,69.98
3/1/18,381,59,69.08
3/6/18,477,44,68.18
3/11/18,383,58,68.47
3/17/18,368,64,69.19
3/22/18,397,53,69.79
3/27/18,397,53,75.24
4/1/18,376,61,74.18
4/6/18,373,62,72.62
4/11/18,378,60,72.95
4/16/18,373,62,75.24
4/22/18,402,51,73.99
4/27/18,465,45,73.49
5/2/18,585,35,72.99
5/7/18,405,50,73.99
5/12/18,376,61,79
5/17/18,397,53,79
5/22/18,391,55,79
5/27/18,645,30,79
6/2/18,838,14,79
6/7/18,814,16,79
6/12/18,694,26,79
6/17/18,573,36,79
6/22/18,730,23,78.88
6/27/18,754,21,78.73
7/2/18,561,37,78.58
7/7/18,525,40,78.43
7/13/18,429,48,78.25
7/18/18,165,235,78.1
7/23/18,258,115,77.95
7/28/18,270,103,77.8
8/2/18,273,100,77.65
8/7/18,320,82,77.5
8/12/18,302,89,77.35
8/17/18,357,68,77.2
8/23/18,391,55,77
8/28/18,537,39,77.1
9/2/18,537,39,77.2
9/7/18,694,26,77.3
9/12/18,645,30,77.4
9/17/18,573,36,77.5
9/22/18,549,38,77.6
9/28/18,682,27,77.72
10/3/18,633,31,77.82
10/8/18,682,27,77.92
10/13/18,657,29,78.02
10/18/18,573,36,78.12
10/23/18,621,32,78.22
10/28/18,397,53,78.32
11/2/18,477,44,77.88
11/8/18,453,46,75.29
11/13/18,453,46,72.44
11/18/18,376,61,69.82
11/23/18,89,588,69.82
11/28/18,102,468,69.82
12/3/18,130,340,70.06
12/8/18,116,380,71.26
12/13/18,129,344,72.46
12/19/18,121,365,73.9
12/24/18,153,270,75.1
12/29/18,158,256,76.3
1/3/19,237,137,77.5
1/8/19,272,101,78.7
